20240409,1000000001,01,HOUSING,2011-06-15,0025000.00
20240409,1000000002,01,HOUSING,2012-06-25,0058333.33
20240409,1000000004,01,HOUSING,2014-08-25,0001444.44
20240409,1000000008,01,HOUSING,2013-08-15,7707500.00
20240409,1000000010,01,HOUSING,2011-06-30,0004100.00
20240409,1000000011,01,HOUSING,2015-07-17,0027546.66
20240409,1000000013,01,HOUSING,2018-06-14,0001350.00
20240409,1000000016,01,HOUSING,2011-12-15,0250000.00
20240409,1000000017,01,HOUSING,2013-06-25,0050416.66
20240409,1000000019,01,HOUSING,2020-01-25,0035750.00
20240409,1000000024,01,HOUSING,2013-08-15,0118750.00
20240409,1000000025,01,HOUSING,2018-09-30,0021600.00

